"siteID","EPT_pct"
"ARIK",0.126495726495726
"BARC",0.258281325012002
"BIGC",0.712799167533819
"BLDE",0.632037533512064
"BLUE",0.47557003257329
"BLWA",0.166666666666667
"CARI",0.536515707874337
"COMO",0.591574019894675
"CRAM",0.345112781954887
"CUPE",0.579263410728583
"FLNT",0.372860635696822
"GUIL",0.515402167712493
"HOPB",0.668746999519923
"KING",0.521396396396396
"LECO",0.649439102564103
"LEWI",0.367768595041322
"LIRO",0.332618025751073
"MART",0.780672268907563
"MAYF",0.416033172080166
"MCDI",0.367965367965368
"MCRA",0.77381974248927
"OKSR",0.494043447792572
"POSE",0.583231083844581
"PRIN",0.425657894736842
"PRLA",0.12022817025011
"PRPO",0.0576676633917129
"REDB",0.482881597717546
"SUGG",0.198036006546645
"SYCA",0.253012048192771
"TOMB",0.225746268656716
"TOOK",0.0921696574225122
"WALK",0.432803778445685
"WLOU",0.59718826405868
